sep=;
Datum;Högstakurs;Lägstakurs;Stängn.kurs;Genomsnittspris;Tot.vol.;Oms;
2022-12-14;2149,81;2111,47;2139,03;;1;;
2022-12-13;2162,30;2106,80;2140,70;;1;;
2022-12-12;2111,40;2095,22;2108,92;;1;;
2022-12-09;2120,76;2099,35;2116,45;;1;;
2022-12-08;2099,77;2085,68;2091,88;;1;;
2022-12-07;2109,77;2082,81;2088,43;;1;;
2022-12-06;2145,21;2105,69;2111,28;;1;;
2022-12-05;2145,00;2123,89;2139,69;;1;;
2022-12-01;2137,86;2115,30;2125,09;;1;;
2022-11-30;2120,35;2097,22;2102,42;;1;;
2022-11-29;2108,11;2089,86;2092,24;;1;;
2022-11-28;2110,82;2092,49;2096,38;;1;;
2022-11-25;2117,67;2103,53;2116,74;;1;;
2022-11-24;2118,52;2100,52;2106,75;;1;;
2022-11-23;2112,34;2098,54;2109,84;;1;;
2022-11-22;2103,35;2072,21;2096,56;;1;;
2022-11-21;2093,10;2072,39;2082,57;;1;;
2022-11-18;2095,05;2069,85;2087,37;;1;;
2022-11-17;2094,77;2054,36;2067,08;;1;;
2022-11-16;2110,47;2073,65;2074,98;;1;;
2022-11-15;2113,80;2086,78;2098,01;;1;;
2022-11-14;2120,60;2095,30;2107,99;;1;;
2022-11-11;2121,13;2088,57;2108,67;;1;;
2022-11-09;2035,09;2018,31;2033,12;;1;;
2022-11-08;2039,04;2002,36;2035,99;;1;;
2022-11-07;2014,33;1988,25;2008,62;;1;;
2022-11-04;1999,02;1966,28;1999,01;;1;;
2022-11-03;1965,65;1945,39;1960,06;;1;;
2022-11-02;1991,96;1974,04;1980,52;;1;;
2022-11-01;1997,20;1969,48;1974,99;;1;;
2022-10-31;1979,00;1960,69;1968,53;;1;;
2022-10-28;1978,12;1945,20;1974,28;;1;;
2022-10-27;1974,14;1956,18;1968,23;;1;;
2022-10-26;1973,58;1945,17;1970,06;;1;;
2022-10-25;1966,73;1922,01;1965,29;;1;;
2022-10-24;1941,42;1905,62;1938,73;;1;;
2022-10-21;1910,30;1880,35;1901,51;;1;;
2022-10-19;1962,99;1926,44;1926,44;;1;;
2022-10-18;1949,01;1922,04;1938,56;;1;;
2022-10-17;1916,28;1857,08;1908,38;;1;;
2022-10-14;1893,44;1861,79;1869,02;;1;;
2022-10-12;1850,88;1826,41;1834,36;;1;;
2022-10-11;1844,64;1818,61;1834,10;;1;;
2022-10-10;1858,54;1824,02;1836,91;;1;;
2022-10-07;1881,94;1839,04;1841,77;;1;;
2022-10-06;1905,38;1875,46;1883,04;;1;;
2022-10-05;1907,51;1874,84;1882,92;;1;;
2022-10-04;1910,71;1855,84;1909,64;;1;;
2022-09-30;1833,33;1796,83;1828,98;;1;;
2022-09-29;1828,11;1781,87;1794,39;;1;;
2022-09-28;1841,54;1791,37;1838,77;;1;;
2022-09-27;1841,74;1815,43;1829,37;;1;;
2022-09-26;1834,91;1805,49;1811,78;;1;;
2022-09-23;1840,65;1799,79;1817,96;;1;;
2022-09-22;1868,42;1835,38;1837,91;;1;;
2022-09-21;1882,24;1842,25;1878,77;;1;;
2022-09-20;1900,31;1856,67;1856,67;;1;;
2022-09-19;1885,92;1854,13;1877,92;;1;;
2022-09-16;1901,40;1881,51;1881,51;;1;;
2022-09-15;1932,35;1908,14;1911,79;;1;;
2022-09-14;1937,20;1910,27;1916,36;;1;;
2022-09-13;1985,20;1938,23;1938,23;;1;;
2022-09-12;1975,74;1941,77;1974,54;;1;;
2022-09-09;1941,10;1911,00;1934,06;;1;;
2022-09-08;1916,50;1872,95;1907,31;;1;;
2022-09-07;1902,29;1875,66;1897,76;;1;;
2022-09-06;1920,57;1888,86;1903,25;;1;;
2022-09-05;1901,71;1878,37;1898,81;;1;;
2022-09-02;1925,92;1882,96;1925,04;;1;;
2022-09-01;1907,13;1875,49;1875,49;;1;;
2022-08-31;1951,18;1920,23;1920,23;;1;;
2022-08-30;1975,59;1936,18;1942,43;;1;;
2022-08-29;1949,49;1919,04;1940,13;;1;;
2022-08-26;2000,67;1954,97;1956,17;;1;;
2022-08-25;1998,67;1975,51;1987,32;;1;;
2022-08-24;1992,44;1965,39;1983,58;;1;;
2022-08-23;2005,20;1980,23;1985,63;;1;;
2022-08-22;2035,86;1995,82;1995,99;;1;;
2022-08-19;2053,17;2037,87;2037,97;;1;;
2022-08-18;2057,78;2034,10;2053,33;;1;;
2022-08-17;2065,12;2031,99;2034,76;;1;;
2022-08-16;2059,31;2038,69;2058,94;;1;;
2022-08-15;2046,16;2031,01;2036,67;;1;;
2022-08-12;2041,09;2027,61;2032,51;;1;;
2022-08-11;2037,55;2016,60;2024,48;;1;;
2022-08-10;2025,48;1975,19;2025,48;;1;;
2022-08-09;2017,31;1981,72;1987,68;;1;;
2022-08-08;2026,87;2003,86;2017,15;;1;;
2022-08-05;2029,80;1998,49;1998,57;;1;;
2022-08-04;2026,91;2009,96;2020,83;;1;;
2022-08-03;2010,62;1987,56;2005,58;;1;;
2022-08-02;2004,14;1987,58;1993,92;;1;;
2022-08-01;2039,96;2000,37;2011,11;;1;;
2022-07-29;2035,43;2004,12;2032,53;;1;;
2022-07-28;1996,02;1978,45;1996,02;;1;;
2022-07-27;1981,71;1965,27;1971,38;;1;;
2022-07-26;1983,44;1961,19;1962,96;;1;;
2022-07-25;1981,72;1965,92;1970,89;;1;;
2022-07-22;1990,18;1962,66;1979,70;;1;;
2022-07-21;1981,92;1940,23;1975,97;;1;;
2022-07-20;1978,87;1950,96;1961,31;;1;;
2022-07-19;1961,38;1904,07;1961,12;;1;;
2022-07-18;1938,32;1911,79;1930,50;;1;;
2022-07-15;1906,62;1873,95;1903,82;;1;;
2022-07-14;1927,92;1885,87;1903,51;;1;;
2022-07-12;1968,81;1916,69;1968,81;;1;;
2022-07-11;1952,77;1934,87;1937,49;;1;;
2022-07-08;1971,06;1943,68;1971,04;;1;;
2022-07-07;1955,12;1926,92;1954,58;;1;;
2022-07-05;1911,82;1865,14;1866,16;;1;;
2022-07-04;1901,30;1881,09;1893,56;;1;;
2022-07-01;1897,18;1850,40;1875,94;;1;;
2022-06-30;1887,01;1858,12;1872,68;;1;;
2022-06-29;1918,50;1895,67;1908,31;;1;;
2022-06-28;1940,62;1911,54;1913,14;;1;;
2022-06-27;1930,78;1901,11;1924,84;;1;;
2022-06-24;1865,54;1865,54;1865,54;;1;;
2022-06-23;1892,04;1861,74;1865,54;;1;;
2022-06-22;1898,75;1864,53;1895,84;;1;;
2022-06-21;1924,36;1900,12;1903,38;;1;;
2022-06-20;1900,29;1881,23;1895,24;;1;;
2022-06-17;1911,84;1882,92;1884,27;;1;;
2022-06-16;1945,69;1883,23;1890,33;;1;;
2022-06-15;1957,67;1927,00;1946,86;;1;;
2022-06-14;1973,12;1927,03;1931,39;;1;;
2022-06-13;1977,63;1948,87;1956,50;;1;;
2022-06-10;2030,76;1988,69;1990,80;;1;;
2022-06-09;2071,32;2042,19;2044,06;;1;;
2022-06-08;2086,20;2059,44;2069,93;;1;;
2022-06-07;2082,71;2054,44;2074,21;;1;;
2022-06-03;2092,26;2067,72;2069,41;;1;;
2022-06-02;2080,52;2047,09;2075,68;;1;;
2022-06-01;2062,95;2038,41;2041,26;;1;;
2022-05-31;2074,31;2042,64;2042,64;;1;;
2022-05-30;2086,10;2069,61;2075,28;;1;;
2022-05-27;2058,10;2016,10;2058,10;;1;;
2022-05-25;2019,78;1981,82;1981,82;;1;;
2022-05-24;2017,99;1995,18;2001,10;;1;;
2022-05-23;2025,14;1998,84;2018,87;;1;;
2022-05-20;2020,10;1987,78;1994,09;;1;;
2022-05-19;1997,35;1967,43;1992,40;;1;;
2022-05-18;2038,75;2001,25;2002,54;;1;;
2022-05-17;2039,86;2013,88;2027,34;;1;;
2022-05-16;2021,33;1996,25;2004,49;;1;;
2022-05-13;2015,90;1979,55;2011,33;;1;;
2022-05-12;1976,82;1936,37;1973,48;;1;;
2022-05-11;1977,66;1943,05;1977,47;;1;;
2022-05-10;1973,59;1924,85;1943,11;;1;;
2022-05-09;1958,85;1908,97;1914,82;;1;;
2022-05-06;1980,66;1939,25;1962,00;;1;;
2022-05-05;2045,18;1981,77;1985,13;;1;;
2022-05-04;2033,47;2008,97;2011,12;;1;;
2022-05-03;2041,00;2024,17;2034,46;;1;;
2022-05-02;2041,74;1895,41;2020,41;;1;;
2022-04-29;2075,31;2042,98;2058,90;;1;;
2022-04-28;2066,40;2024,14;2038,56;;1;;
2022-04-27;2059,76;2011,88;2048,69;;1;;
2022-04-26;2079,75;2018,33;2018,33;;1;;
2022-04-25;2071,75;2041,65;2050,64;;1;;
2022-04-22;2118,33;2088,10;2094,94;;1;;
2022-04-21;2143,36;2104,42;2126,44;;1;;
2022-04-20;2128,83;2095,96;2109,10;;1;;
2022-04-19;2102,92;2066,70;2097,89;;1;;
2022-04-13;2107,13;2080,21;2098,58;;1;;
2022-04-12;2113,96;2063,92;2102,20;;1;;
2022-04-11;2127,66;2091,16;2097,71;;1;;
2022-04-08;2133,79;2117,08;2131,86;;1;;
2022-04-07;2123,88;2095,04;2108,04;;1;;
2022-04-06;2136,14;2080,34;2101,21;;1;;
2022-04-05;2149,03;2123,91;2132,52;;1;;
2022-04-04;2142,33;2101,18;2136,44;;1;;
2022-04-01;2122,13;2086,17;2119,62;;1;;
2022-03-31;2140,75;2092,78;2095,17;;1;;
2022-03-30;2148,38;2107,68;2130,30;;1;;
2022-03-29;2175,17;2134,84;2154,38;;1;;
2022-03-28;2139,01;2113,83;2124,93;;1;;
2022-03-25;2135,18;2100,20;2106,52;;1;;
2022-03-24;2158,66;2127,53;2134,16;;1;;
2022-03-23;2190,66;2140,73;2155,64;;1;;
2022-03-22;2193,88;2169,22;2182,78;;1;;
2022-03-21;2188,22;2166,49;2181,05;;1;;
2022-03-18;2178,83;2148,61;2178,83;;1;;
2022-03-17;2186,82;2144,69;2159,00;;1;;
2022-03-16;2172,45;2121,45;2167,15;;1;;
2022-03-15;2094,67;2044,99;2085,08;;1;;
2022-03-14;2115,07;2077,14;2096,44;;1;;
2022-03-11;2098,20;2043,76;2070,80;;1;;
2022-03-10;2059,90;2018,19;2038,92;;1;;
2022-03-09;2041,93;2000,43;2041,62;;1;;
2022-03-08;2019,91;1945,51;1972,04;;1;;
2022-03-07;2014,25;1902,22;1980,35;;1;;
2022-03-04;2039,33;1982,43;1985,54;;1;;
2022-03-03;2100,21;2044,22;2048,51;;1;;
2022-03-02;2107,06;2041,24;2096,53;;1;;
2022-03-01;2135,07;2084,93;2084,93;;1;;
2022-02-28;2135,22;2083,61;2134,07;;1;;
2022-02-25;2143,92;2074,74;2141,52;;1;;
2022-02-24;2094,76;2038,30;2078,06;;1;;
